topology,config,success_rate_mean,best_reward_mean,n_seeds,compliance,ci95_lo,ci95_hi,n_approx
Loaded_Line,dying_relu,76.5,2.0432018222992823,3,0.765,0.7294532125394904,0.7971749627965581,600
Loaded_Line,sage_ln,75.16666666666667,2.039749430116951,3,0.7516666666666667,0.7155676570727467,0.7845635031520541,600
Loaded_Line,gin,76.66666666666667,2.042008557328827,3,0.7666666666666667,0.7311920909358717,0.7987482112890828,600
Switched_Line,dying_relu,100.0,2.157104674402073,3,1.0,0.9936380666717896,1.0,600
Switched_Line,sage_ln,100.0,2.1602401041661388,3,1.0,0.9936380666717896,1.0,600
Switched_Line,gin,100.0,2.1696284340424294,3,1.0,0.9936380666717896,1.0,600
Reflection_Type,dying_relu,59.166666666666664,2.106166548781949,3,0.5916666666666667,0.5518742365097888,0.6302927423800393,600
Reflection_Type,sage_ln,58.333333333333336,2.09179471288418,3,0.5833333333333334,0.5434765360799672,0.6221298083653313,600
Reflection_Type,gin,61.166666666666664,2.1007557012859555,3,0.6116666666666667,0.5720762012851761,0.6498363002715235,600
Switched_Filter,dying_relu,17.833333333333332,1.550507484230075,3,0.17833333333333334,0.14977901229608517,0.21098049814506367,600
Switched_Filter,sage_ln,18.333333333333332,1.539396543878792,3,0.18333333333333332,0.15441929446907846,0.21627659663878826,600
Switched_Filter,gin,17.666666666666668,1.5452626933912381,3,0.17666666666666667,0.14823418704148855,0.20921319651075432,600
Vector_Modulator,dying_relu,99.66666666666667,2.148396630336152,3,0.9966666666666667,0.9879283904323899,0.9990854224615877,600
Vector_Modulator,sage_ln,98.83333333333333,2.19274589678183,3,0.9883333333333333,0.9761156900024707,0.994337488446977,600
Vector_Modulator,gin,100.0,2.1670145025182115,3,1.0,0.9936380666717896,1.0,600
All_Pass,dying_relu,0.0,-5.0,3,0.0,0.0,0.006361933328210577,600
All_Pass,sage_ln,0.0,-5.0,3,0.0,0.0,0.006361933328210577,600
All_Pass,gin,0.0,-3.1747235737838078,3,0.0,0.0,0.006361933328210577,600
