topology,fc_ghz,method,B=1,B=10,B=50,B=200,B=1000
Loaded_Line,28.0,RS,1.225571422553262,2.012381896789957,2.0203955892229537,2.035352198538087,2.0434482511202865
Loaded_Line,28.0,DE,0.953336754021783,1.6545803535043369,2.0170838188844487,2.0343383057118767,2.052343675903898
Loaded_Line,28.0,SA,0.8944615314345259,1.338815135686354,1.6718529735360785,2.032382273705756,2.0437762908499786
Loaded_Line,28.0,BO,0.7094346991585939,1.621687756437243,2.034064390396623,2.045316548625531,2.045316548625531
Loaded_Line,38.0,RS,1.2248443056100813,2.0316004450882956,2.0316004450882956,2.0349649868541455,2.0472538367983524
Loaded_Line,38.0,DE,0.9432042150131413,1.6619987257139135,2.0313117741216202,2.036931533981921,2.0498803063935194
Loaded_Line,38.0,SA,1.342115490955677,1.6872428074632537,2.027697995672931,2.036118517910769,2.048476107817301
Loaded_Line,38.0,BO,0.8733997092198315,1.3351152082133992,1.9948959447500199,2.050232338363567,2.050232338363567
Switched_Line,14.0,RS,0.709112875,2.172860918984763,2.1893128480288047,2.2404840111264313,2.2753074332005436
Switched_Line,14.0,SA,0.7507754375,1.1805984438406247,2.238510296044901,2.270911197122623,2.270911197122623
Switched_Line,14.0,BO,0.7546261375000001,1.0296199261382173,2.277549376297617,2.2885195605590773,2.2885195605590773
Switched_Line,24.0,RS,0.8186577921471212,2.07661577947315,2.0907369926845463,2.161548494453917,2.187615190770237
Switched_Line,24.0,DE,1.0121156134798976,1.7130439044926327,2.153518414182766,2.1650007551308574,2.1956872669221306
Switched_Line,24.0,SA,1.2799509962923141,1.6724570597075143,1.7779683391938843,2.150436379623514,2.1880478473115628
Switched_Line,24.0,BO,0.856919784261717,1.7570875957567116,2.1870744253062364,2.207663703803151,2.207663703803151
Vector_Modulator,8.0,RS,0.6704933228574098,0.9144943228870188,1.3497318230813276,2.0921352469911523,2.193725516532486
Vector_Modulator,8.0,DE,1.4499378410958716,1.5418430520308546,1.5897864747496036,1.6721592878410272,2.147662763461209
Vector_Modulator,8.0,SA,0.7349943574852128,0.9361343066557705,1.029866506305476,1.3804300953385324,2.223808221162178
Vector_Modulator,8.0,BO,0.7696281894652574,0.9270753537206448,1.37277411829547,2.272916170804742,2.272916170804742
Reflection_Type,10.0,RS,0.613449586404735,0.9131027608726487,1.7119686307791835,2.0926176170731767,2.100838796430478
Reflection_Type,10.0,DE,0.6192376834129977,1.3538472658331626,2.085309848500845,2.1004763123531838,2.115369045548986
Reflection_Type,10.0,SA,0.571177589604742,0.766976798705376,1.3662459255046846,2.066527909311512,2.1188081348659575
Reflection_Type,10.0,BO,0.549363359168408,1.6338295032999355,2.1168448782629556,2.123155632521431,2.123155632521431
All_Pass,2.4,RS,0.5569512577507097,0.6478449279159398,0.6478449279159398,0.6478449279159398,0.6478449279159398
All_Pass,2.4,DE,0.4050459343542254,0.5523680989248478,0.6886065192868532,0.7041314751127961,0.737460545888216
All_Pass,2.4,SA,0.43302755072498406,0.5058094344704814,0.6155244029163924,0.6909366374305973,0.7350414926140832
All_Pass,2.4,BO,0.5332028872639375,0.6800438492053679,0.7054562328366404,0.7265314233339876,0.7265314233339876
Switched_Filter,18.0,RS,0.3576441988734471,0.6949858809302537,1.4407014938792464,1.5377515299318858,1.9118268453461764
Switched_Filter,18.0,DE,0.38897595564186166,0.8042482515556294,0.8639036943249003,1.5870743444637718,1.9973039325721949
Switched_Filter,18.0,SA,0.3675269818191105,0.7013649765006028,0.7013649765006028,1.504138475837835,2.0209814415259006
Switched_Filter,18.0,BO,0.3909977883689009,0.6719284418648552,1.5258918067264275,1.6440872246906129,1.6440872246906129
